Summary,Description,Issue Type,Epic Name / Parent,Labels,Recommended By (Sub-Agent),Frameworks/Goals
"[API] Refactor `api-contract-standards.md`","Address structural issue: API Reference. Action plan: Update the API guidelines document to include the workspace's JSON schema validation practices for CLI-based parameter passing.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","api-contract-architect","Code Quality Improvement"
"[API] Refactor `README.md`","Address structural issue: Onboarding. Action plan: Add documentation on executing `validate-contracts.js` to ensure contract integrity during developer onboarding.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","api-contract-architect","Code Quality Improvement"
"[APPSEC] Refactor `appsec-hardening-guide.md`","Address structural issue: Security Reference. Action plan: Establish a local security scanner configuration to prevent future introductions of wildcard CORS or raw SQL concatenations.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","appsec-hardener","Code Quality Improvement"
"[APPSEC] Refactor `README.md`","Address structural issue: Dev Onboarding. Action plan: Add a section in the developer setup documentation describing local security linting practices once configured.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","appsec-hardener","Code Quality Improvement"
"[MAINTAINABILITY] Refactor `reports-compiler-engine.js`","Address structural issue: Long compilation logic, mixed responsibilities. Action plan: *Extract Function* (Separate report retrieval, mapping, and file output). Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","maintainability-auditor","Code Quality Improvement"
"[MAINTAINABILITY] Refactor `validate-deliverables.js`","Address structural issue: Deeply nested paragraph/sentence parsers. Action plan: *Replace Nested Conditional with Guard Clauses*, *Extract Method* for paragraph rules. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","maintainability-auditor","Code Quality Improvement"
"[MAINTAINABILITY] Refactor `md-to-html.js`","Address structural issue: File Bloat, manual regex parsing loops. Action plan: *Replace Primitive with Object*, modularize custom tag parsing. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","maintainability-auditor","Code Quality Improvement"
"[MAINTAINABILITY] Refactor Workspace wide","Address structural issue: Hardcoded limits & regex thresholds. Action plan: *Introduce Parameter Object* (Extract all validation limits to a configuration file). Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","maintainability-auditor","Code Quality Improvement"
"[PERFORMANCE] Refactor `performance-patterns.md`","Address structural issue: Performance Reference. Action plan: Implement local micro-benchmarks using a lightweight framework like `tinybench` to evaluate the performance of critical functions.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","performance-auditor","Code Quality Improvement"
"[PERFORMANCE] Refactor `scan-helpers.js`","Address structural issue: Codebase Performance. Action plan: For large-scale directories, consider introducing asynchronous, generator-based directory walking to avoid blocking the event loop.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","performance-auditor","Code Quality Improvement"
"[PERFORMANCE] Refactor `README.md`","Address structural issue: Dev Onboarding. Action plan: Add a section in the developer setup documentation describing local micro-benchmarking commands once established.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","performance-auditor","Code Quality Improvement"
"[PRIVACY] Refactor `redactor.js`","Address structural issue: Log Scrubbing. Action plan: Expand redactor rules or deploy custom logger middleware to scrub credential patterns from test outputs.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","privacy-hardener","Code Quality Improvement"
"[PRIVACY] Refactor `README.md`","Address structural issue: Privacy Documentation. Action plan: Append privacy guidelines and the Winston scrubber example to the project documentation to support contributor awareness.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","privacy-hardener","Code Quality Improvement"
"[RESILIENCE] Refactor `run-evals.js`","Address structural issue: Client Resilience. Action plan: Introduce a wrapper function to handle transient network issues and rate limits with exponential backoff and jitter.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","resilience-architect","Code Quality Improvement"
"[RESILIENCE] Refactor `run-fallback-sequential-orchestration.js`","Address structural issue: Code Hygiene. Action plan: Remove the unused `https` import block.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","resilience-architect","Code Quality Improvement"
"[RESILIENCE] Refactor `inject-faults.sh` (Proposed)","Address structural issue: Resilience Testing. Action plan: Create a local shell script utilizing `tc qdisc` to simulate latency and verify fallback paths.. Disclaimer: Recommended tools are selected for stack compatibility and ecosystem popularity. The developer retains final responsibility for reviewing security, licenses, and executing code changes.","Story","Code Health Refactoring","repo-wizard,quick-win","resilience-architect","Code Quality Improvement"
